section,category,description,region,date,metric,value
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-10,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-10,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-10,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-10,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-10,Total Pediatric Critical Care Ventilators,119
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-10,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-10,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,Adult Critical Care Ventilators in Use,322
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,Total Pediatric Critical Care Ventilators,119
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-11,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,Adult Critical Care Ventilators in Use,309
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,Pediatric Critical Care Ventilators in Use,30
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-12,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,Adult Critical Care Ventilators in Use,300
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-13,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,Adult Critical Care Ventilators in Use,305
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-14,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,Adult Critical Care Ventilators in Use,307
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,Pediatric Critical Care Ventilators in Use,30
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-15,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,Adult Critical Care Ventilators in Use,303
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-16,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,Adult Critical Care Ventilators in Use,310
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,Total Pediatric Critical Care Ventilators,117
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-17,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,Adult Critical Care Ventilators in Use,311
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-18,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,Adult Critical Care Ventilators in Use,295
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,Pediatric Critical Care Ventilators in Use,25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-19,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,Adult Critical Care Ventilators in Use,301
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-20,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,Adult Critical Care Ventilators in Use,311
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,Pediatric Critical Care Ventilators in Use,25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-21,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,Adult Critical Care Ventilators in Use,304
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-22,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,Adult Critical Care Ventilators in Use,296
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,Pediatric Critical Care Ventilators in Use,32
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-23,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,Adult Critical Care Ventilators in Use,308
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,Total Adult Critical Care Ventilators,1143
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,Pediatric Critical Care Ventilators in Use,32
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-24,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,Adult Critical Care Ventilators in Use,313
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,Total Adult Critical Care Ventilators,1136
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,Pediatric Critical Care Ventilators in Use,30
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,Total Pediatric Critical Care Ventilators,112
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-25,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,Adult Critical Care Ventilators in Use,329
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,Total Adult Critical Care Ventilators,1138
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,Percent of Adult Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,Total Pediatric Critical Care Ventilators,112
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,Percent of Pediatric Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-26,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,Adult Critical Care Ventilators in Use,326
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,Total Adult Critical Care Ventilators,1137
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,Percent of Adult Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,Pediatric Critical Care Ventilators in Use,32
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,Total Pediatric Critical Care Ventilators,112
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-27,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,Adult Critical Care Ventilators in Use,326
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,Total Adult Critical Care Ventilators,1114
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,Percent of Adult Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-28,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,Adult Critical Care Ventilators in Use,311
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,Total Adult Critical Care Ventilators,1137
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-29,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,Adult Critical Care Ventilators in Use,311
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,Total Adult Critical Care Ventilators,1137
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,Pediatric Critical Care Ventilators in Use,26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-30,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,Adult Critical Care Ventilators in Use,307
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,Total Adult Critical Care Ventilators,1131
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-08-31,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,Adult Critical Care Ventilators in Use,297
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,Total Adult Critical Care Ventilators,1129
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-01,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,Adult Critical Care Ventilators in Use,308
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,Total Adult Critical Care Ventilators,1130
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-02,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,Adult Critical Care Ventilators in Use,322
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-03,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,Adult Critical Care Ventilators in Use,298
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,Total Adult Critical Care Ventilators,1127
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,Pediatric Critical Care Ventilators in Use,33
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-04,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,Adult Critical Care Ventilators in Use,302
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,Total Adult Critical Care Ventilators,1127
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-05,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,Adult Critical Care Ventilators in Use,303
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,Total Adult Critical Care Ventilators,1127
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,Pediatric Critical Care Ventilators in Use,33
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-06,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,Adult Critical Care Ventilators in Use,319
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,Total Adult Critical Care Ventilators,1127
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,Pediatric Critical Care Ventilators in Use,33
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-07,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-08,Adult Critical Care Ventilators in Use,325
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-08,Total Adult Critical Care Ventilators,1130
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-08,Percent of Adult Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-08,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-08,Pediatric Critical Care Ventilators in Use,34
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-08,Total Pediatric Critical Care Ventilators,113
Hospital Data,Hospital Level,Ventilator Use,Colorado,2020-09-08,Percent of Pediatric Critical Care Ventilators in Use,0.3
